id	reviewed_date	location	hotel_restaurant_name	review
rn532743795	"Reviewed October 13, 2017 "	 Patong	3 Spices Restaurant	"Spotted this restaurant a few nights ago decided to go tonight was not busy we were only customers at 2030.
Initial service was good food was amazing very tasty but we were not offered more good drinks or dessert had to get up to leave...More"
rn530064744	"Reviewed October 4, 2017 "	 Patong	3 Spices Restaurant	"Nice settings and table ware all waiting staff speak a very good level of English.
Orders were all fresh and tasty and hit the table fast and well presented.
As it's on beach road it can get a little louder than some places.
Our service...More"
rn522845455	"Reviewed September 9, 2017 "	 Patong	3 Spices Restaurant	First time eating here and it was so full of flavour the presentation was beautiful. Great friendly waitress. Right by the busy street added too the Phuket lifestyle.
rn518630573	"Reviewed August 28, 2017 "	 Patong	3 Spices Restaurant	"Had fish with cashews and vegetables, it was tasty. The restaurant is attractive and the staff is friendly."
rn517256381	"Reviewed August 24, 2017 "	 Patong	3 Spices Restaurant	"This little gem came highly recommended by friends who travel to Phuket regularly
We were not disappointed
Vast menu of local cuisine and international dishes
just off the main drag so fairly quiet if you want that.
Great service and great food."
rn508098800	"Reviewed August 2, 2017 "	 Patong	3 Spices Restaurant	Absolutely unacceptable. We waited for exactly one hour before our food was served. The waiting staff were inattentive and offered no apology for their embarrassingly slow service. Looked busy from the outside (hence why we picked the restaurant) but it turns out that this was...More
rn503105519	"Reviewed July 18, 2017 "	 Patong	3 Spices Restaurant	"Delicious food, every time we come to Patong we come back. The lobster and prawn wontons are amazing!"
rn501246860	"Reviewed July 12, 2017 "	 Patong	3 Spices Restaurant	"Every time I'm in Patong I come here - their Green Curries and Massaman are beautiful, staff are friendly and attentive. Whilst it may be a tiny bit more expensive than other Thai restaurants, it's is much nicer, cleaner and even has non-smoking areas. Highly...More"
rn496156914	"Reviewed June 26, 2017 "	 Patong	3 Spices Restaurant	"Great ambience, great staff and good food. The staff were quite flexible and had the chef make vegetarian options for us."
rn495365957	"Reviewed June 23, 2017 "	 Patong	3 Spices Restaurant	"Salmon, impiana pink paradise, best food so tasty! The best location in patong beach, the stuff are very friendly, clean and fast service !!
Highly recommend"
rn492140383	"Reviewed June 11, 2017 "	 Patong	3 Spices Restaurant	Loved everything about this restaurant. The food is delicious and the portions are generous! The staff was so lovely and made our experience very enjoyable. Some of the best food we've had in thailand yet! Would recommend to anyone looking to treat themselves a little.
rn477097525	"Reviewed April 19, 2017 "	 Patong	3 Spices Restaurant	"Mouthwatering squid great wine list with some basic Aussie wines.
My lovely wife had the Thai special which in her words the best satay she has eaten bar Sandhi our friends from Bali, I enjoyed the BBQ squid and a Thai lobster tail washed down...More"
rn475821128	"Reviewed April 15, 2017 "	 Patong	3 Spices Restaurant	"Tasty food, good location. Staff is attentive. A bit pricier than other places but still extremely cheap for a foreigner."
rn472907158	"Reviewed April 5, 2017 "	 Patong	3 Spices Restaurant	"Tonight we enjoyed the best meal we have had since we have been in Thailand ! Setting was define, meal was fabulous & great service with a smile! Defiantly worth the visit!"
rn472543441	"Reviewed April 3, 2017 "	 Patong	3 Spices Restaurant	"We called in to 3 Spices to grab some lunch. They had a special, a 3 course meal for 399Bht, which is around $15au
It was the best meal I ate the whole time I was there. They gave us so much food and the...More"
rn469568656	"Reviewed March 23, 2017 "	 Patong	3 Spices Restaurant	"We stopped in here for lunch on the recommendation of a friend who has stayed at the resort a few times.
Food was delicious overall and the Nasi Goreng was superb.
The restaurant was clean and the service friendly.
Its more expensive than many other...More"
rn467252859	"Reviewed March 14, 2017 "	 Patong	3 Spices Restaurant	"I'm sorry but i never ate THAT bad in Thailand. I ordered sea food salad... it was so disgusting on taste, I could not do even a second bite. And on appetizer I ordered fried calamari. So i got fried asparagus instead and 3 peaces...More"
rn465302274	"Reviewed March 7, 2017 "	 Patong	3 Spices Restaurant	"Saw this restaurant and it looked nice and clean, so went in and ordered veg spring rolls, green chicken curry and nasi goreng and 3 singha beers Lovely meals and one of the cheapest meals. at 1005 bahts £25.More"
rn464407583	"Reviewed March 3, 2017 "	 Patong	3 Spices Restaurant	"When your after great Thai food but a little upmarket then this is the placed to find.
The staff are just fantastic."
rn457278868	"Reviewed February 5, 2017 "	 Patong	3 Spices Restaurant	"In the proximity of Patong beach and Bangla Road is this restaurant. Very clean, good service.
We took dinner in this place: Tom Yam prawn soup and one menu. Excellent choise. Not expensive."
rn455695112	"Reviewed January 29, 2017 "	 Patong	3 Spices Restaurant	Nice menu and the food didnt disappoint. Service was a little slow but in fairness they were very busy. Stylish dinner spot on Beach Road.More
rn453247782	"Reviewed January 18, 2017 "	 Patong	3 Spices Restaurant	"We passed this restaurant often and always commented how smart and very clean the restaurant looked, then decided despite very few people ever eating there let's give it a go! All I can say is - am glad we did.
The service was attentive and...More"
rn452963255	"Reviewed January 17, 2017 "	 Patong	3 Spices Restaurant	"We went here one evening after having a few drinks up bangla road and the food and service were excellent, so much so we went there another 3 nights for yet still amazing food. Very reasonably priced for authentic Thai food."
rn452756481	"Reviewed January 17, 2017 "	 Patong	3 Spices Restaurant	"Perfect eating for a good price
And everything was good
Perfect gegeten voor een goede prijs
En een perfecte serviceMore"
rn449449960	"Reviewed January 4, 2017 "	 Patong	3 Spices Restaurant	"Great location, grab a table at the front and watch the hustle and bustle. Fabulous for people watching.
Lovely layout and feels like a restaurant. Good choice on the menu and the prices are reasonable. Try the squid with ginger, delicious and cooked perfectly.
However,...More"
rn449449926	"Reviewed January 4, 2017 "	 Patong	3 Spices Restaurant	Myself and my partner and another couple came for lunch here on our first day in Phuket! We were walking for a long time and stumbled across the restaurant! The food was so fresh and delicious and came out relatively quickly! Our waitress was very...More
rn448837177	"Reviewed January 3, 2017 "	 Patong	3 Spices Restaurant	"Have been to this restaurant a few times now and our last experience wasn't great on arrival greeted she led to our seat ordered great food then that's where the service stopped wasn't busy ,was basically ignored trying to order another drink and get the...More"
rn440208895	"Reviewed November 26, 2016 "	 Patong	3 Spices Restaurant	This has authentic Thai food in a very clean and upscale setting. It's conveniently located right along the main street and beach.
rn437450699	"Reviewed November 15, 2016 "	 Patong	3 Spices Restaurant	"We stopped by for lunch as this looks like a nice restaurant compared to the others, we weren't greeted at first and seemed like a bit of a burden but we sat down non the less, we ordered the wontons for a starter and was...More"
rn424343784	"Reviewed October 2, 2016 "	 Patong	3 Spices Restaurant	Been before back in 2011 and decided to see if it was still as good. Did not disappoint. Best sticky rice and mango in PatingMore
rn424173871	"Reviewed October 1, 2016 "	 Patong	3 Spices Restaurant	"The prawn dish and the curry soup was very good. but we sat on a busy street with the view of construction across the street. Was not the best view or a quiet place. The service was very good, and they spoke good english. Dessert...More"
rn423818299	"Reviewed September 30, 2016 "	 Patong	3 Spices Restaurant	Been in Patong a few times and this is the first time we had a go at 3 Spices and I'm disappointed it took us so long to try it food was amazing and so fresh. I had the duck soup and my wife had...More
rn416972040	"Reviewed September 10, 2016 "	 Patong	3 Spices Restaurant	"A nice change from the other grubby restaurants around the area! Very clean and modern. My girlfriend and I both went for the set menu which was lovely.
Vietnamese spring rolls/chicken satay to start
Chicken massaman curry for the main
Banana spring rolls for dessert...More"
rn416690366	"Reviewed September 10, 2016 "	 Patong	3 Spices Restaurant	"We chose 3 spices as we felt like Asian food for lunch, ie ""Authentic Asian Cuisine from 5 countries""
It was the best decision we made. I had the daily set meal - 3 courses - and I could not stop eating it was sooooo...More"
rn415977492	"Reviewed September 7, 2016 "	 Patong	3 Spices Restaurant	"if not the rating would have been lower. service for the most part was ok, except they forgot our order. drink prices are ridiculous. you can find better mixed drink prices at other restaurants with at least comparable food.. order the wine the prices are...More"
rn415594962	"Reviewed September 7, 2016 "	 Patong	3 Spices Restaurant	We jus happened across this restaurant and thought we would give it a go. The best food we had in Thailand and at an awesome price. We had the three course set menu for 395baht each and it was amazing. I wish we had found...More
rn405138667	"Reviewed August 14, 2016 "	 Patong	3 Spices Restaurant	Just need a refreshing cold drink and 3 Spices was nearest and cleanest. In fact this restaurant is maintained to a high quality. Friendly service but did take some time to get my beer and my wife's watermelon juice. Definite quality and you pay for...More
rn399868477	"Reviewed August 1, 2016 "	 Patong	3 Spices Restaurant	"Great service. Food quality is still good - went there three years ago and they've maintained their standards.
Authentic Thai food. Nothing for kids to eat.More"
rn399536415	"Reviewed July 31, 2016 "	 Patong	3 Spices Restaurant	Best food and service in Patong! Can't fault this place one bit.. Never done a review on trip adviser before but this place deserves everything it gets ... Will be back tomorrow!More
rn399055577	"Reviewed July 29, 2016 "	 Patong	3 Spices Restaurant	Thai inspired bistro with great quality food and service. They've maintained a standard over the past three years since our last visit.
rn394300368	"Reviewed July 19, 2016 "	 Patong	3 Spices Restaurant	"Found this restaurant in the Phuket Privileges Card book which gave us 25% off our total bill. The staff were helpful and provided good service. Extensive menu featuring several Asian cusines. There were 6 chicken sate for an entree plus salad, very tasty. Our mains...More"
rn393913248	"Reviewed July 18, 2016 "	 Patong	3 Spices Restaurant	"Very nice and attentive staff, the food is amazing! Best restaurant I have ever been in Thailand! I have a vegetarian friend and they made changes for us and were constantly asking if our friend could eat this and that, so helpful!!More"
rn392537238	"Reviewed July 14, 2016 "	 Patong	3 Spices Restaurant	"Had a lovely meal here with the family tonight. There was 5 of us and the bill came to £60. That was 2 drinks each including cocktails, starters and main. Excellent food - taste and presentation."
rn390684067	"Reviewed July 9, 2016 "	 Patong	3 Spices Restaurant	Would recommend to anyone that wants a good feed and great service. The misses and I enjoyed everything we ate and will be back tomorrow.
rn387284985	"Reviewed June 28, 2016 "	 Patong	3 Spices Restaurant	We have eaten twice at this restaurant so far on our holiday. It is part of the Impiana Resort at which we are staying. The food is excellent. You can see the Chef preparing your order as you wait. We had the three course special...More
rn382416142	"Reviewed June 14, 2016 "	 Patong	3 Spices Restaurant	"Have gone to the Three Spices on each of our holidays to Patong , The food seems to get better and better, the service is always first class, the restaurant is spotless and the staff very helpful. Would recommend to all."
rn377738067	"Reviewed May 29, 2016 "	 Patong	3 Spices Restaurant	We recently visited this restaurant - and must express our completed gratitude to the staff for the exceptional service ( Yot ) and the chef ( Eurporean ) who was on hand to advise on the restaurant menus and the advertised 3 X course specials...More
rn373571288	"Reviewed May 16, 2016 "	 Patong	3 Spices Restaurant	"We had the 3 course meal here and it was divine! So much food we couldn't finish it all. Highly recommended, drinks a bit on the pricey side but food good value our meal cost us BHT 800 for 2 people."
rn364811342	"Reviewed April 17, 2016 "	 Patong	3 Spices Restaurant	3 Spices was the perfect restaurant when I was looking for seafood at a reasonable price. The dishes were great and very tasty. The atmosphere was fantastic too and the restaurant is open so that you can see the exterior surroundings. I would recommend 3...More
rn362975567	"Reviewed April 10, 2016 "	 Patong	3 Spices Restaurant	"This restaurant again produced great Thai food with friendly attentive service. The balance of the sauces was amazing. A small criticism....if you enjoy wine with your meal, the wine was very expensive. I expect wine to be pricey in Thailand, but it seemed to be...More"
rn355631199	"Reviewed March 15, 2016 "	 Patong	3 Spices Restaurant	Really good tasty Thai food is served here and the service is good. This restaurant has a good atmosphere and you can people watch in between the different courses of your mealMore
rn349838231	"Reviewed February 21, 2016 "	 Patong	3 Spices Restaurant	"A lovely restaurant which we first visited a year ago, it seemed ideal to revisit for our Valentine's Day meal. All was well until, around 10.30pm, we asked to see the dessert menu and was told the kitchen was closed. Guys, it's only a bit...More"
rn349626425	"Reviewed February 21, 2016 "	 Patong	3 Spices Restaurant	"Although the food was pretty much average, good but not stand out ish, the place lacked service, the staff seemed preoccupied most of the time not enough attention paid. The position is on a main road which doesn't help as very noisy!!More"
rn343836749	"Reviewed January 30, 2016 "	 Patong	3 Spices Restaurant	"While still offering good quality, this restaurant seems to have fallen behind the competition. Food was good but server was not knowledgeable.More"
rn340384123	"Reviewed January 16, 2016 "	 Patong	3 Spices Restaurant	This place is a real winner!! Well priced and meals are a decent size. Menu is very large and the service is also great!! Situated in a great people watching spot too. We are there 4 times in the 9 days we were there (day...More
rn339302433	"Reviewed January 11, 2016 "	 Patong	3 Spices Restaurant	"400 baht with 3 delicious courses and all very tasty.
We doubled back again on our last night. Located on the main road so can be a little noisy at times but good if you want to see the talent go by.More"
rn338122753	"Reviewed January 7, 2016 "	 Patong	3 Spices Restaurant	"Where to start.
The food is absolutely amazing and very generous sizes, yet it is extremely cheap for what you get.
Had the 3 course buffet for 399 bht, couldn't even get to desert.
The map is a little off, it's to the right of...More"
rn335600730	"Reviewed December 28, 2015 "	 Patong	3 Spices Restaurant	A chilled out ambience with smiling staff! They have great dining offers!- try their seafood dinner buffet for 399 THB/ person! Located within Impiana Resort Patong!
rn333454996	"Reviewed December 16, 2015 "	 Patong	3 Spices Restaurant	"The food here was truly amazing, one of the best meals I had in Patong. Can't go wrong here if you love Thai food. The chef came out after we had eaten also to check we enjoyed it which I thought was also a really...More"
rn332412501	"Reviewed December 13, 2015 "	 Patong	3 Spices Restaurant	It is an open restaurant in the middle of the shopping area. The food is great and nicely presented.
rn332355052	"Reviewed December 12, 2015 "	 Patong	3 Spices Restaurant	"I went here twice and both times what i ordered what amazing. Had to be the best time i have had in ages.
So fresh and delicious.
Staff was really friendly as well."
rn331510170	"Reviewed December 8, 2015 "	 Patong	3 Spices Restaurant	"We decided to try 3 Spices last night.Ordered 1 starter to share, 3 curries and 2 small beers and the bill was $75AUD which I found excessive !!! Yes, the restaurant has lovely decor, but thats clearly what you pay for.The curries were ok but...More"
rn327581874	"Reviewed November 18, 2015 "	 Patong	3 Spices Restaurant	"Very nice and tasty food that aspires to a 4. Service is definitely also a 4, however, there were no other guests.
Price quality drags it down to a 3, and if you chose the table we did, close to the street, yes there is...More"
rn316474836	"Reviewed October 5, 2015 "	 Patong	3 Spices Restaurant	"The price point was high compared to the rest of Phuket. We thought we were going for finer dinner, but the service was slow and some of the food came out just lukewarm (for seafood that's unacceptable). Serving size was small. Seating was spacious but...More"
rn303552499	"Reviewed August 25, 2015 "	 Patong	3 Spices Restaurant	Great food from a wide ranging menu! I can personally recommend the Green Curry! Cheap food and great service
rn298172584	"Reviewed August 11, 2015 "	 Patong	3 Spices Restaurant	"Very nice place to eat , good service and delicious Thai food in a 5 star ambiance .
Reasonable priced for a place like that .
In the summer they give 10 % discount , wine is too expensive though ."
rn296870328	"Reviewed August 8, 2015 "	 Patong	3 Spices Restaurant	I ate here last night with a friend. The food was dry and tasted not fresh. Very limited menu and the place has the most uncomfortable chairs I have ever sat on. I honestly would eat at subway or a pizza place compared to the...More
rn292907073	"Reviewed July 27, 2015 "	 Patong	3 Spices Restaurant	"Went there 2 days ago. Salmon and duck not that fresh.
Pork sweet and sour, chicken noodles and tempura were ok."
rn289127930	"Reviewed July 15, 2015 "	 Patong	3 Spices Restaurant	"We've been coming to 3 spices for the past 9 years & it never fails to please!
Beautiful food, mainly the same staff year after year, lovely amenities & reasonable prices.
My only disappointment is that there isn't much my kids will eat , but...More"
rn281083125	"Reviewed June 18, 2015 "	 Patong	3 Spices Restaurant	"Restaurant was quite good, very Clean, just past Bangla Rd, so 5 min walk from main strip
Food was good, not cheap but worth the trip.
Good service, good food, clean restaurant"
rn271276268	"Reviewed May 11, 2015 "	 Patong	3 Spices Restaurant	"We went here after reading all the good trip advisor reviews. It was very fancy, as it is attached to a resort, the food was good (better than the thai in Australia) however it was pricey in comparison to all the other thai places over...More"
rn268934907	"Reviewed April 29, 2015 "	 Patong	3 Spices Restaurant	"Went to this restaurant with family and friend (9) in total after being recommended by a friend. No complaints. Food was fantastic and enjoyed by everyone. Very clean restaurant, easy to find, staff and service were great. Prices were very good."
rn263696250	"Reviewed April 4, 2015 "	 Patong	3 Spices Restaurant	"We are here twice during our stay. Both times the quality was excellent and we came away happy. Yes, it's more expensive than the street outlets but not that much more. The locating is nice, and the position over the street is a good place...More"
rn262418590	"Reviewed March 29, 2015 "	 Patong	3 Spices Restaurant	Our first time here 9 years ago still here and we love coming every year! Always a hit with our whole family great thai food and service Thank you!
rn259323273	"Reviewed March 13, 2015 "	 Patong	3 Spices Restaurant	This place is central to everything....part of another resort but the food and prices are amazing. A definite when you are there.
rn257013751	"Reviewed February 28, 2015 "	 Patong	3 Spices Restaurant	We had been to 3 spices five years ago and enjoyed our meal.We have just returned from Phuket and had visited 3 Spices.This year we were not as satisfied in the food.Perhaps it is under new management.We found the food very average.We won't be visiting...More
rn254275499	"Reviewed February 15, 2015 "	 Patong	3 Spices Restaurant	"We spent 2 weeks in patong and tried lots of restaurants during our stay but 3 spices hands down was our favourite. Great service, elegant setting, decent prices and quality food.
The restaurant rarely looks busy which can be discouraging but we were impressed by...More"
rn253617526	"Reviewed February 10, 2015 "	 Patong	3 Spices Restaurant	"We quickly checked this restaurant on trip advisor and someone had said its cheap... It may be cheap for London, but not for Phuket. It's resort pricing (250 Baht stir fry) but nice food. The Thai food is a little limited in range. However I...More"
rn253489329	"Reviewed February 10, 2015 "	 Patong	3 Spices Restaurant	"stopped here just for drinks on our first night in Patong recently and was so impressed with the friendly service and quality of wine that we returned to eat the following evening - and were not disappointed. Our waitress Ashley was excellent, really friendly and...More"
rn252674662	"Reviewed February 4, 2015 "	 Patong	3 Spices Restaurant	"We ate here last night as it's so so nice here. This is our 2nd trip to Patong in 12 months and both occasions we haven't been disappointed. The staff are great, the food is tasty and very good value for money. The seating area...More"
rn568399796	"Reviewed March 24, 2018 "	 Patong	99 Seafood	"We had our last dinner at Phuket on our holiday in this restaurant, food was fairly nice but we ordered chicken rice soup for our baby and served with ants swimming inside! Thanks they changed at least. Cheaper than Savoey restaurant for sure! Just beware...More"
rn560798856	"Reviewed February 16, 2018 "	 Patong	99 Seafood	Great food and very good value. Staff are very friendly too. The seafood is great. Good selection of food and beers.
rn559024215	"Reviewed February 7, 2018 "	 Patong	99 Seafood	"Even though it doesn't look like much, this place has great food on offer. I'm not too much into fish but we ordered bbq snapper and it was unreal. I was really impressed."
rn556897209	"Reviewed January 28, 2018 "	 Patong	99 Seafood	We were recommended this restaurant and were not disappointed. The food arrived really quicky and was steaming hot and thoroughly enjoyable. The staff were very friendly and made us feel welcome.
rn540536046	"Reviewed November 12, 2017 "	 Patong	99 Seafood	"The wife and I stopped by for a quick lunch and were both very happy with our meals. Whilst we only had noodle dishes and not seafood meals they were great. Services was excellent =. The meals here were cheap and tasty.
Highly recommended."
rn517383998	"Reviewed August 25, 2017 "	 Patong	99 Seafood	"Service quick, restaurant layout ok and clean at the tables, but my God what did my lobster do to the chef to warrant such cruel and unusual abuse? Lobster Thermidor terrible, worst one ever in my experience in Australia and overseas. Sludgy milk and flour...More"
rn512939661	"Reviewed August 14, 2017 "	 Patong	99 Seafood	We've been coming to 99 Seafood a few times over the years whenever we are in Phuket. It used to be really good with lots of people eating here. Sadly the quality of the food has gone down a little and it is not what...More
rn493329093	"Reviewed June 15, 2017 "	 Patong	99 Seafood	"Our family ate here our 1st night in Phuket and we loved it! The seafood was super fresh and cooked to perfecti9n. My son and husband had lobster, while my daughter and I had shrimp and fresh oysters. The oysters were divine, really the whole...More"
rn490926150	"Reviewed June 6, 2017 "	 Patong	99 Seafood	"Restaurant 99 isn't attractive to look at but absolutely delivers in terms of food and service.
I ate here with my family and we had lots of different dishes, all of them were excellent. The service is great too, what more can you ask for....More"
rn490743794	"Reviewed June 5, 2017 "	 Patong	99 Seafood	"Don't know why so many people having a sook on prices, It's Thailand. Still beats prices back home. 800 gram lobster was cheap and amazing been back 3 times on my holiday. Had a great experience and service."
rn490237241	"Reviewed June 3, 2017 "	 Patong	99 Seafood	"Had dinner here last night, service was quick & friendly. Food was ok, not fantastic. Prices were ok so not complaining. Noting to get excited about, quick, cheap feed, better options available if you are happy to line up at No 6 just down the...More"
rn481711470	"Reviewed May 4, 2017 "	 Patong	99 Seafood	"Looking for somewhere close by to the hotel I came across this place. The place itself looks a little plain and cheap with its plastic plates etc. But the food is excellent and lots of choices, so thats the main thing after all. Prices are...More"
rn474952032	"Reviewed April 12, 2017 "	 Patong	99 Seafood	"This is an open area restaurant, quite a lot of patrons here.
Ordered a mixed stir fried vegetable, steamed garlic shrimps and Pad Thai Chicken, taste okay.
Staff here are willing to help."
rn473200176	"Reviewed April 6, 2017 "	 Patong	99 Seafood	"We went to this place for dinner, the food was tasty,and the presentation was nice.Varieties of seafood and meat dishes were available. We ordered seafood flat noodles (soup) and yellow noodles, which had prawn and squid (in quite big pieces). The food was of good...More"
rn462713896	"Reviewed February 25, 2017 "	 Patong	99 Seafood	"Fresh seafood, reasonable price - my 3rd time eating here in 2 weeks - staffs are friendly - food affordable- smack in the centre of town - can bring ur alcohol and drink/ that was good - toilet can't say much -"
rn459580768	"Reviewed February 14, 2017 "	 Patong	99 Seafood	"nice restaurant ; fresh seafood ; but not so clean ; specially the toilette ;
generrally very good restaurant for fresh seafood ;
phuket & patong area specially brgin to be expensive ;"
rn448511970	"Reviewed January 2, 2017 "	 Patong	99 Seafood	Found 99 while looking for somewhere to eat. Varied menu definitely something for everyone. Quick and courteous service nice fresh food at good prices.
rn446686899	"Reviewed December 26, 2016 "	 Patong	99 Seafood	"It was so fresh. They have live fish & crabs. The cost was reasonable compared to other restaurants . The staff also so friendly.
You have to try"
rn444758527	"Reviewed December 16, 2016 "	 Patong	99 Seafood	"Very friendly staff, (multi-lingual to boot), yummy food, good service. Wide variety - thai food, pasta, pizzas, fish and chips, fruit shakes. This is the place we return to every time we visit Phuket."
rn442376377	"Reviewed December 6, 2016 "	 Patong	99 Seafood	"I had the Curry Prawns, with steamed rice as a side, the plate was plenty for dinner and the flavours were amazing. I love seafood and curries and I fell in love with this one, put the red wine (very average) aside and ordered a...More"
rn441647685	"Reviewed December 2, 2016 "	 Patong	99 Seafood	"Food was fresh, plentiful and fantastic. We had a number of dishes and beers. Nice and clean. CHARMING service. Very reasonably priced. Don't be put off by large outdoor feel all under cover. Thoroughly recommended."
rn417996179	"Reviewed September 13, 2016 "	 Patong	99 Seafood	"This is the best and tasty fresh seafood Resturant in Phuket Patong beach.
Yummy Yummy, it's worth it for the money you pay.
We have tried lots of seafood Resturant in Patong beach, but 99 is the real Yummy one <f0><U+009F><U+0091><U+008C>"
rn409114264	"Reviewed August 22, 2016 "	 Patong	99 Seafood	I had lemon steamed fish and it was delicious. Plenty of vibe here via the attentive staff. We enjoyed our food and will come back again. This is my 3rd time to Phuket and 3rd time for the fish dish. There have been some changes...More
rn404444195	"Reviewed August 12, 2016 "	 Patong	99 Seafood	"The food at the place was ok, with nothing special. The food was overpriced compared to many resturants close by that have better food for better prices."
rn401051021	"Reviewed August 3, 2016 "	 Patong	99 Seafood	"Tried this Restaurant and enjoyed the fresh food. The restaurant was quite open and busy every night but always got a table and served promptly. If you want fresh fish, you can choose the size you want and it was prepared whilst you had drinks....More"
rn400700137	"Reviewed August 3, 2016 "	 Patong	99 Seafood	"Had dinner here and to be honest, there are better places elsewhere. Quite touristy.
Food was normal and the portions didn't fill us up as much as the other places we went to for the same amount of dishes ordered."
rn399233676	"Reviewed July 30, 2016 "	 Patong	99 Seafood	"We didn't have any seafood dishes ironically however the here and red curries were excellent. Decent choice of European dishes too which kept the kids happy.
Staff very friendly and the prices reasonable"
rn396114645	"Reviewed July 24, 2016 "	 Patong	99 Seafood	"The food was terrible and we felt cheated. First of all all the food was served half cold and not fresh.
We ordered the garlic king prawn however we didn't get to choose our prawn and it came with normal standard prawn size and was...More"
rn394526037	"Reviewed July 19, 2016 "	 Patong	99 Seafood	Lots of sights and sounds. Almost overwhelmed by the smell of Durian fruit. Ok to see if you are passing by.
rn392342987	"Reviewed July 13, 2016 "	 Patong	99 Seafood	This is a great semi open eating seafood court not far from walking street on the main road . The quality and freshness of the seafood was fantastic .. A must if you are in Patong
